| Package | Category | Description | Status | Version |
|---------|----------|-------------|--------|---------|
| **fastapi** | Web Framework | FastAPI web framework | 🟢 Installed | 0.115.0 |
| **uvicorn** | Server | ASGI server | 🟢 Installed | 0.24.0 |
| **opencv-python-headless** | Computer Vision | Image processing | 🟢 Installed | 4.8.0 |
| **pymupdf4llm** | PDF Processing | PDF processing for LLM | 🟢 Installed | 0.0.12 |
| **supabase** | Database | Database client | 🟢 Installed | 2.3.0 |
| **numpy** | Computing | Numerical computing | 🟢 Installed | 1.26.4 |
| **pandas** | Data | Data manipulation | 🟢 Installed | 2.1.4 |
| **torch** | AI/ML | PyTorch deep learning | 🟢 Installed | 2.2.2+cpu |
| **openai** | AI/ML | OpenAI API client | 🟢 Installed | 1.51.0 |
| **anthropic** | AI/ML | Anthropic API client | 🟢 Installed | 0.23.1 |
| **llama-index** | AI/ML | LLM framework | 🔴 Missing | N/A |

